class	frame	xtl	ytl	xbr	ybr
5.19	2018-02-16_1515_left/001941	1709	925	1765	976
5.19	2018-02-16_1515_left/001942	1712	923	1771	969
5.19	2018-02-16_1515_left/001948	1748	910	1805	961
5.19	2018-02-16_1515_left/001949	1754	912	1819	966
5.19	2018-02-16_1515_left/001950	1754	890	1819	952
5.19	2018-02-16_1515_left/001951	1768	908	1820	961
5.19	2018-02-16_1515_left/001953	1770	888	1842	959
5.19	2018-02-16_1515_left/001954	1772	909	1842	967
5.19	2018-02-16_1515_left/001956	1788	901	1855	960
4.1	2018-02-16_1515_left/001958	1807	821	1868	892
5.19	2018-02-16_1515_left/001958	1794	907	1867	957
5.19	2018-02-16_1515_left/001960	1803	901	1879	958
5.19	2018-02-16_1515_left/001961	1813	897	1888	957
5.19	2018-02-16_1515_left/001962	1819	902	1892	968
5.19	2018-02-16_1515_left/001964	1832	892	1909	958
5.19	2018-02-16_1515_left/001965	1843	892	1918	960
5.19	2018-02-16_1515_left/001966	1654	873	1695	911
5.19	2018-02-16_1515_left/001966	1847	885	1914	948
5.19	2018-02-16_1515_left/001967	1851	888	1932	961
5.19	2018-02-16_1515_left/001968	1861	885	1937	954
5.19	2018-02-16_1515_left/001969	1863	885	1944	955
5.19	2018-02-16_1515_left/001970	1873	885	1952	953
5.19	2018-02-16_1515_left/001970	1656	874	1705	917
5.19	2018-02-16_1515_left/001971	1875	881	1964	946
5.19	2018-02-16_1515_left/001973	1887	882	1984	957
5.19	2018-02-16_1515_left/001975	1921	886	2003	966
5.19	2018-02-16_1515_left/001976	1944	890	2023	956
5.19	2018-02-16_1515_left/001977	1930	883	2021	960
5.19	2018-02-16_1515_left/001978	1952	892	2043	959
5.19	2018-02-16_1515_left/001979	1966	892	2049	967
5.19	2018-02-16_1515_left/001980	1977	881	2070	971
5.19	2018-02-16_1515_left/001981	1975	883	2070	963
5.19	2018-02-16_1515_left/001982	1985	878	2083	964
5.19	2018-02-16_1515_left/001983	2005	884	2098	960
5.19	2018-02-16_1515_left/001984	2020	885	2103	961
5.19	2018-02-16_1515_left/001985	2033	857	2135	950
5.19	2018-02-16_1515_left/001986	2041	861	2149	955
5.19	2018-02-16_1515_left/001988	2072	871	2161	956
4.1	2018-02-16_1515_left/001988	2057	738	2164	841
5.19	2018-02-16_1515_left/001990	2091	850	2205	944
5.19	2018-02-16_1515_left/001991	2111	855	2206	943
5.19	2018-02-16_1515_left/001991	1700	874	1758	918
5.19	2018-02-16_1515_left/001992	2123	852	2218	944
5.19	2018-02-16_1515_left/001993	2138	844	2240	939
5.19	2018-02-16_1515_left/001994	2148	834	2259	939
5.19	2018-02-16_1515_left/001995	2170	847	2276	947
5.19	2018-02-16_1515_left/001996	2184	829	2297	940
5.19	2018-02-16_1515_left/001996	1716	861	1766	907
5.19	2018-02-16_1515_left/001998	2217	835	2337	945
5.19	2018-02-16_1515_left/002000	2253	837	2373	938
5.19	2018-02-16_1515_left/002000	1719	871	1778	914
5.19	2018-02-16_1515_left/002001	1723	867	1783	917
5.19	2018-02-16_1515_left/002002	1734	870	1771	907
5.19	2018-02-16_1515_left/002004	1737	874	1783	913
5.19	2018-02-16_1515_left/002005	1731	872	1796	921
3.27	2018-02-16_1515_left/002007	1420	889	1449	917
5.19	2018-02-16_1515_left/002009	1744	876	1802	924
5.19	2018-02-16_1515_left/002010	1750	878	1804	923
5.19	2018-02-16_1515_left/002014	1755	881	1823	928
5.19	2018-02-16_1515_left/002015	1764	877	1819	925
5.19	2018-02-16_1515_left/002016	1765	871	1821	925
5.19	2018-02-16_1515_left/002017	1767	876	1836	930
5.19	2018-02-16_1515_left/002018	1776	877	1829	929
5.19	2018-02-16_1515_left/002019	1777	874	1838	925
5.19	2018-02-16_1515_left/002022	1788	875	1854	922
5.19	2018-02-16_1515_left/002023	1789	874	1856	920
5.19	2018-02-16_1515_left/002026	1802	873	1862	922
5.19	2018-02-16_1515_left/002028	1810	878	1863	926
5.19	2018-02-16_1515_left/002029	1808	871	1882	922
5.19	2018-02-16_1515_left/002031	1821	868	1889	918
5.19	2018-02-16_1515_left/002032	1827	871	1894	920
5.19	2018-02-16_1515_left/002033	1832	860	1893	912
3.27	2018-02-16_1515_left/002034	1416	892	1449	923
5.19	2018-02-16_1515_left/002034	1831	863	1902	917
3.27	2018-02-16_1515_left/002035	1416	892	1449	920
5.19	2018-02-16_1515_left/002035	1838	861	1904	914
5.19	2018-02-16_1515_left/002036	1030	896	1065	928
5.19	2018-02-16_1515_left/002036	1840	861	1914	912
5.19	2018-02-16_1515_left/002037	1845	857	1915	914
5.19	2018-02-16_1515_left/002038	1848	851	1918	906
5.19	2018-02-16_1515_left/002039	1851	855	1923	906
5.19	2018-02-16_1515_left/002040	1856	846	1928	902
5.19	2018-02-16_1515_left/002041	1859	857	1927	902
5.19	2018-02-16_1515_left/002043	1869	849	1936	900
5.19	2018-02-16_1515_left/002044	1874	847	1942	905
3.27	2018-02-16_1515_left/002045	1412	888	1450	921
5.19	2018-02-16_1515_left/002045	1876	848	1944	904
5.19	2018-02-16_1515_left/002046	1882	853	1951	906
5.19	2018-02-16_1515_left/002047	1889	848	1951	899
5.19	2018-02-16_1515_left/002048	1894	844	1955	901
5.19	2018-02-16_1515_left/002049	1898	844	1963	898
3.27	2018-02-16_1515_left/002050	1409	878	1449	912
5.19	2018-02-16_1515_left/002050	988	880	1037	918
5.19	2018-02-16_1515_left/002050	1897	836	1971	889
5.19	2018-02-16_1515_left/002051	1897	833	1975	897
5.19	2018-02-16_1515_left/002052	1911	830	1979	891
5.19	2018-02-16_1515_left/002053	1912	830	1984	887
5.19	2018-02-16_1515_left/002054	1916	831	1988	891
5.19	2018-02-16_1515_left/002055	1929	833	1999	882
3.27	2018-02-16_1515_left/002056	1410	872	1445	908
5.19	2018-02-16_1515_left/002056	1928	833	2001	885
5.19	2018-02-16_1515_left/002057	976	861	1022	903
5.19	2018-02-16_1515_left/002057	1932	826	2009	884
5.19	2018-02-16_1515_left/002058	1938	816	2011	875
5.19	2018-02-16_1515_left/002059	1942	812	2021	873
5.19	2018-02-16_1515_left/002060	1949	811	2023	871
5.19	2018-02-16_1515_left/002061	964	859	1007	903
5.19	2018-02-16_1515_left/002061	1953	817	2031	877
5.19	2018-02-16_1515_left/002062	1954	822	2046	881
5.19	2018-02-16_1515_left/002063	1965	820	2044	884
3.24	2018-02-16_1515_left/002064	1404	877	1439	910
5.19	2018-02-16_1515_left/002064	1969	823	2048	886
3.27	2018-02-16_1515_left/002065	1403	880	1439	913
5.19	2018-02-16_1515_left/002065	1976	826	2053	886
5.19	2018-02-16_1515_left/002066	1974	825	2062	893
5.19	2018-02-16_1515_left/002067	1980	828	2066	888
5.19	2018-02-16_1515_left/002068	1988	821	2069	890
5.19	2018-02-16_1515_left/002069	931	875	987	923
5.19	2018-02-16_1515_left/002069	1989	830	2078	894
5.19	2018-02-16_1515_left/002070	931	874	983	919
5.19	2018-02-16_1515_left/002070	1993	830	2084	893
5.19	2018-02-16_1515_left/002071	2003	827	2088	893
3.27	2018-02-16_1515_left/002072	1396	889	1433	925
5.19	2018-02-16_1515_left/002072	2003	828	2096	895
5.19	2018-02-16_1515_left/002073	2009	834	2104	900
5.19	2018-02-16_1515_left/002074	917	882	971	928
5.19	2018-02-16_1515_left/002075	915	879	968	928
5.19	2018-02-16_1515_left/002076	913	883	967	931
3.24	2018-02-16_1515_left/002076	1395	896	1435	931
5.19	2018-02-16_1515_left/002077	907	885	967	931
5.19	2018-02-16_1515_left/002077	2038	836	2124	896
5.19	2018-02-16_1515_left/002078	909	884	959	932
5.19	2018-02-16_1515_left/002081	898	878	949	929
3.27	2018-02-16_1515_left/002081	1394	896	1435	931
5.19	2018-02-16_1515_left/002082	410	795	458	844
5.19	2018-02-16_1515_left/002082	897	876	946	924
3.1	2018-02-16_1515_left/002083	395	875	450	940
5.19	2018-02-16_1515_left/002083	895	876	940	921
3.27	2018-02-16_1515_left/002083	1393	893	1433	929
5.19	2018-02-16_1515_left/002084	392	790	446	843
5.19	2018-02-16_1515_left/002084	889	873	938	922
3.1	2018-02-16_1515_left/002085	381	875	432	936
5.19	2018-02-16_1515_left/002085	884	877	939	921
3.1	2018-02-16_1515_left/002086	370	875	428	935
5.19	2018-02-16_1515_left/002086	883	875	934	921
3.1	2018-02-16_1515_left/002087	365	866	432	925
5.19	2018-02-16_1515_left/002087	877	875	933	924
5.19	2018-02-16_1515_left/002088	357	785	410	843
3.1	2018-02-16_1515_left/002088	352	868	412	944
5.19	2018-02-16_1515_left/002088	874	875	928	927
3.1	2018-02-16_1515_left/002089	345	878	403	939
5.19	2018-02-16_1515_left/002089	870	875	925	927
4.2	2018-02-16_1515_left/002089	1390	895	1428	930
3.1	2018-02-16_1515_left/002090	336	873	394	938
5.19	2018-02-16_1515_left/002090	864	878	924	924
3.1	2018-02-16_1515_left/002091	327	868	390	941
5.19	2018-02-16_1515_left/002091	864	874	920	923
3.1	2018-02-16_1515_left/002092	320	866	383	939
5.19	2018-02-16_1515_left/002092	327	780	380	834
4.2	2018-02-16_1515_left/002092	1389	892	1429	927
5.19	2018-02-16_1515_left/002093	320	773	370	826
3.1	2018-02-16_1515_left/002093	309	866	374	932
5.19	2018-02-16_1515_left/002093	860	871	915	921
3.1	2018-02-16_1515_left/002094	304	860	367	931
5.19	2018-02-16_1515_left/002095	303	764	354	822
3.1	2018-02-16_1515_left/002095	300	852	363	938
5.19	2018-02-16_1515_left/002095	846	864	911	915
5.19	2018-02-16_1515_left/002096	292	764	349	827
3.1	2018-02-16_1515_left/002096	290	848	357	935
5.19	2018-02-16_1515_left/002096	846	861	905	912
5.19	2018-02-16_1515_left/002097	289	764	338	811
3.1	2018-02-16_1515_left/002097	282	847	345	933
5.19	2018-02-16_1515_left/002097	845	865	904	912
5.19	2018-02-16_1515_left/002098	281	756	333	817
3.1	2018-02-16_1515_left/002098	274	845	344	930
5.19	2018-02-16_1515_left/002098	839	861	897	908
5.19	2018-02-16_1515_left/002099	268	751	322	811
3.1	2018-02-16_1515_left/002099	257	857	327	919
5.19	2018-02-16_1515_left/002099	834	856	900	912
3.1	2018-02-16_1515_left/002100	253	846	330	935
5.19	2018-02-16_1515_left/002100	257	754	322	815
5.19	2018-02-16_1515_left/002100	833	860	891	910
3.1	2018-02-16_1515_left/002101	251	842	319	927
5.19	2018-02-16_1515_left/002101	829	857	886	906
3.1	2018-02-16_1515_left/002102	241	843	313	929
5.19	2018-02-16_1515_left/002102	828	860	890	904
3.1	2018-02-16_1515_left/002103	227	834	300	928
5.19	2018-02-16_1515_left/002103	239	750	289	802
5.19	2018-02-16_1515_left/002103	823	852	879	902
3.1	2018-02-16_1515_left/002104	223	833	295	927
5.19	2018-02-16_1515_left/002104	822	848	879	898
5.19	2018-02-16_1515_left/002105	214	739	274	800
3.1	2018-02-16_1515_left/002105	206	846	279	919
5.19	2018-02-16_1515_left/002105	816	846	875	902
5.19	2018-02-16_1515_left/002106	202	732	266	795
5.19	2018-02-16_1515_left/002106	807	841	875	898
3.1	2018-02-16_1515_left/002107	194	824	270	922
5.19	2018-02-16_1515_left/002107	815	847	869	895
3.1	2018-02-16_1515_left/002108	170	839	230	895
5.19	2018-02-16_1515_left/002108	801	839	867	897
3.1	2018-02-16_1515_left/002109	174	820	252	916
5.19	2018-02-16_1515_left/002109	801	839	864	896
3.1	2018-02-16_1515_left/002110	164	821	239	908
3.1	2018-02-16_1515_left/002111	141	830	212	895
5.19	2018-02-16_1515_left/002111	156	713	218	780
5.19	2018-02-16_1515_left/002111	793	832	853	888
5.19	2018-02-16_1515_left/002112	139	715	209	781
3.1	2018-02-16_1515_left/002112	141	814	226	911
5.19	2018-02-16_1515_left/002112	791	831	849	888
3.1	2018-02-16_1515_left/002113	121	819	188	890
5.19	2018-02-16_1515_left/002113	789	832	848	883
3.1	2018-02-16_1515_left/002114	125	814	204	914
5.19	2018-02-16_1515_left/002114	778	830	845	887
5.19	2018-02-16_1515_left/002115	2336	740	2448	846
3.1	2018-02-16_1515_left/002115	98	828	162	892
5.19	2018-02-16_1515_left/002116	771	834	835	891
3.1	2018-02-16_1515_left/002117	85	810	170	908
5.19	2018-02-16_1515_left/002117	765	827	831	887
4.2	2018-02-16_1515_left/002117	1373	860	1414	900
3.1	2018-02-16_1515_left/002118	61	823	135	895
5.19	2018-02-16_1515_left/002118	762	827	823	884
3.1	2018-02-16_1515_left/002119	64	809	155	910
5.19	2018-02-16_1515_left/002119	757	826	822	885
3.1	2018-02-16_1515_left/002120	27	792	113	889
5.19	2018-02-16_1515_left/002120	749	821	825	878
3.1	2018-02-16_1515_left/002121	22	796	102	884
5.19	2018-02-16_1515_left/002121	747	820	815	875
3.1	2018-02-16_1515_left/002122	29	796	120	902
5.19	2018-02-16_1515_left/002122	740	814	813	876
3.1	2018-02-16_1515_left/002123	24	794	108	901
5.19	2018-02-16_1515_left/002123	740	813	804	873
3.1	2018-02-16_1515_left/002124	12	790	95	898
5.19	2018-02-16_1515_left/002124	735	810	803	871
5.19	2018-02-16_1515_left/002125	729	802	800	867
5.19	2018-02-16_1515_left/002126	723	804	796	863
5.19	2018-02-16_1515_left/002127	717	800	789	866
5.19	2018-02-16_1515_left/002128	714	797	788	859
5.19	2018-02-16_1515_left/002129	712	797	779	856
5.19	2018-02-16_1515_left/002130	708	789	774	854
5.19	2018-02-16_1515_left/002131	210	825	251	867
5.19	2018-02-16_1515_left/002131	698	787	778	848
5.19	2018-02-16_1515_left/002132	695	782	775	849
5.19	2018-02-16_1515_left/002133	690	777	767	843
5.19	2018-02-16_1515_left/002134	685	773	764	840
5.19	2018-02-16_1515_left/002135	686	775	759	844
5.19	2018-02-16_1515_left/002136	680	778	758	845
5.19	2018-02-16_1515_left/002137	678	782	757	846
5.19	2018-02-16_1515_left/002138	670	781	751	852
5.19	2018-02-16_1515_left/002139	670	786	751	853
5.19	2018-02-16_1515_left/002140	665	789	744	860
5.19	2018-02-16_1515_left/002141	664	795	730	860
5.19	2018-02-16_1515_left/002141	1367	905	1405	948
5.19	2018-02-16_1515_left/002142	656	797	731	863
5.19	2018-02-16_1515_left/002143	655	805	730	877
5.19	2018-02-16_1515_left/002144	647	803	720	873
5.19	2018-02-16_1515_left/002145	639	809	722	882
5.19	2018-02-16_1515_left/002146	628	813	719	884
5.19	2018-02-16_1515_left/002148	632	829	696	897
5.19	2018-02-16_1515_left/002149	627	824	693	899
5.19	2018-02-16_1515_left/002150	627	835	686	903
5.19	2018-02-16_1515_left/002151	607	839	695	911
5.19	2018-02-16_1515_left/002153	593	836	685	913
5.19	2018-02-16_1515_left/002154	588	838	675	916
5.19	2018-02-16_1515_left/002155	580	837	672	912
5.19	2018-02-16_1515_left/002155	1364	971	1403	1012
5.19	2018-02-16_1515_left/002156	575	830	670	914
5.19	2018-02-16_1515_left/002158	562	824	663	911
5.19	2018-02-16_1515_left/002159	552	819	651	904
5.19	2018-02-16_1515_left/002165	497	822	603	897
5.19	2018-02-16_1515_left/002165	1348	971	1394	1018
5.19	2018-02-16_1515_left/002169	452	808	568	890
5.19	2018-02-16_1515_left/002169	1335	967	1381	1017
5.19	2018-02-16_1515_left/002170	435	805	547	897
5.19	2018-02-16_1515_left/002170	1330	972	1374	1011
4.2	2018-02-16_1515_left/002179	1301	886	1350	942
5.19	2018-02-16_1515_left/002179	1296	957	1348	1010
5.19	2018-02-16_1515_left/002181	1291	956	1343	1007
5.19	2018-02-16_1515_left/002183	1283	955	1336	1009
5.19	2018-02-16_1515_left/002184	1279	956	1337	1011
5.19	2018-02-16_1515_left/002186	1274	952	1323	1004
5.19	2018-02-16_1515_left/002187	1272	950	1318	1004
5.19	2018-02-16_1515_left/002188	1264	949	1317	1001
5.19	2018-02-16_1515_left/002190	1256	945	1310	994
5.19	2018-02-16_1515_left/002192	1250	938	1302	993
5.19	2018-02-16_1515_left/002193	1248	941	1296	990
5.19	2018-02-16_1515_left/002198	1228	932	1280	986
5.19	2018-02-16_1515_left/002200	1215	935	1272	982
5.19	2018-02-16_1515_left/002204	1200	939	1258	995
5.19	2018-02-16_1515_left/002205	1203	942	1251	991
5.19	2018-02-16_1515_left/002206	1195	946	1250	998
5.19	2018-02-16_1515_left/002207	1191	949	1251	1001
5.19	2018-02-16_1515_left/002208	1190	951	1245	1008
5.19	2018-02-16_1515_left/002209	1182	952	1243	1009
5.19	2018-02-16_1515_left/002210	1185	958	1237	1008
5.19	2018-02-16_1515_left/002211	1178	952	1237	1007
5.19	2018-02-16_1515_left/002212	1177	953	1235	1010
5.19	2018-02-16_1515_left/002213	1175	953	1230	1009
5.19	2018-02-16_1515_left/002214	1171	953	1231	1012
5.19	2018-02-16_1515_left/002215	1171	958	1226	1014
5.19	2018-02-16_1515_left/002216	1172	956	1224	1011
5.19	2018-02-16_1515_left/002217	1163	953	1221	1012
5.19	2018-02-16_1515_left/002218	1155	961	1219	1012
5.19	2018-02-16_1515_left/002219	1155	959	1209	1013
5.19	2018-02-16_1515_left/002220	1150	958	1204	1014
5.19	2018-02-16_1515_left/002221	1141	957	1198	1013
5.19	2018-02-16_1515_left/002222	1136	956	1192	1012
5.19	2018-02-16_1515_left/002223	1130	958	1185	1014
5.19	2018-02-16_1515_left/002224	1122	954	1181	1013
5.19	2018-02-16_1515_left/002225	1112	953	1174	1015
5.19	2018-02-16_1515_left/002226	1108	955	1168	1015
5.19	2018-02-16_1515_left/002227	1101	955	1163	1016
5.19	2018-02-16_1515_left/002228	1095	956	1156	1016
5.19	2018-02-16_1515_left/002229	1090	957	1151	1018
5.19	2018-02-16_1515_left/002230	1083	955	1147	1018
5.19	2018-02-16_1515_left/002231	1075	957	1143	1019
5.19	2018-02-16_1515_left/002232	1072	955	1138	1019
5.19	2018-02-16_1515_left/002233	1062	962	1126	1015
5.19	2018-02-16_1515_left/002234	1057	955	1125	1013
5.19	2018-02-16_1515_left/002235	1048	948	1119	1014
5.19	2018-02-16_1515_left/002236	1041	945	1109	1011
5.19	2018-02-16_1515_left/002237	1032	941	1105	1005
5.19	2018-02-16_1515_left/002238	1025	941	1099	1005
5.19	2018-02-16_1515_left/002239	1019	939	1089	1004
5.19	2018-02-16_1515_left/002240	1009	941	1079	997
5.19	2018-02-16_1515_left/002241	1001	936	1070	993
5.19	2018-02-16_1515_left/002242	989	933	1067	990
5.19	2018-02-16_1515_left/002243	983	929	1055	991
5.19	2018-02-16_1515_left/002244	970	923	1048	990
5.19	2018-02-16_1515_left/002245	967	921	1037	986
5.19	2018-02-16_1515_left/002246	951	919	1032	987
5.19	2018-02-16_1515_left/002247	942	918	1019	981
5.19	2018-02-16_1515_left/002248	924	906	1005	990
5.19	2018-02-16_1515_left/002249	910	909	1002	977
5.19	2018-02-16_1515_left/002250	911	904	988	972
5.19	2018-02-16_1515_left/002251	895	893	966	978
5.19	2018-02-16_1515_left/002253	869	895	939	971
5.19	2018-02-16_1515_left/002254	858	890	932	969
5.19	2018-02-16_1515_left/002255	848	884	930	972
5.19	2018-02-16_1515_left/002256	831	879	914	959
5.19	2018-02-16_1515_left/002257	809	875	909	949
5.19	2018-02-16_1515_left/002258	810	870	899	960
5.19	2018-02-16_1515_left/002259	790	863	880	956
5.19	2018-02-16_1515_left/002260	776	864	865	946
5.19	2018-02-16_1515_left/002261	765	859	854	952
5.19	2018-02-16_1515_left/002262	740	857	823	954
5.19	2018-02-16_1515_left/002263	719	854	815	947
5.19	2018-02-16_1515_left/002264	702	853	790	947
5.19	2018-02-16_1515_left/002265	684	845	778	945
5.19	2018-02-16_1515_left/002266	669	850	768	954
5.19	2018-02-16_1515_left/002267	648	857	761	937
5.19	2018-02-16_1515_left/002268	635	852	729	945
5.19	2018-02-16_1515_left/002269	628	859	720	945
5.19	2018-02-16_1515_left/002274	489	834	606	950
5.19	2018-02-16_1515_left/002284	181	770	352	943
5.19	2018-02-16_1515_left/002287	64	757	217	930
2.1	2018-02-16_1515_left/002399	1429	913	1470	950
2.1	2018-02-16_1515_left/002419	1432	932	1476	974
2.1	2018-02-16_1515_left/002434	1445	926	1490	971
2.1	2018-02-16_1515_left/002435	1446	919	1490	970
2.1	2018-02-16_1515_left/002450	1471	900	1521	952
2.1	2018-02-16_1515_left/002491	1625	830	1735	913
2.1	2018-02-16_1515_left/002495	1669	814	1778	902
2.1	2018-02-16_1515_left/002499	1705	797	1829	892
2.1	2018-02-16_1515_left/002500	1713	785	1839	887
3.27	2018-02-16_1515_left/002567	1066	962	1107	1000
3.24	2018-02-16_1515_left/002581	1064	959	1093	982
3.27	2018-02-16_1515_left/002606	1064	947	1095	973
3.27	2018-02-16_1515_left/002620	1048	948	1084	975
3.27	2018-02-16_1515_left/002624	1043	944	1076	970
3.27	2018-02-16_1515_left/002628	1042	943	1073	970
3.27	2018-02-16_1515_left/002632	1034	938	1070	967
3.27	2018-02-16_1515_left/002633	1034	936	1067	964
3.27	2018-02-16_1515_left/002635	1030	934	1063	958
3.27	2018-02-16_1515_left/002637	1026	932	1065	965
3.27	2018-02-16_1515_left/002639	1023	927	1060	957
3.27	2018-02-16_1515_left/002642	1025	923	1055	951
3.27	2018-02-16_1515_left/002644	1019	926	1058	959
3.27	2018-02-16_1515_left/002646	1015	925	1053	959
3.27	2018-02-16_1515_left/002647	1014	924	1052	957
3.27	2018-02-16_1515_left/002651	1011	928	1050	961
3.27	2018-02-16_1515_left/002657	1010	931	1050	962
4.2	2018-02-16_1515_left/002659	1006	925	1047	961
3.27	2018-02-16_1515_left/002662	1002	925	1044	958
3.27	2018-02-16_1515_left/002665	994	918	1036	954
3.27	2018-02-16_1515_left/002668	988	919	1033	957
3.27	2018-02-16_1515_left/002669	983	911	1026	947
3.27	2018-02-16_1515_left/002670	984	920	1030	956
3.27	2018-02-16_1515_left/002676	973	902	1018	940
3.27	2018-02-16_1515_left/002677	967	901	1017	941
5.19	2018-02-16_1515_left/002677	1573	934	1636	987
3.27	2018-02-16_1515_left/002679	964	899	1013	940
5.19	2018-02-16_1515_left/002679	1589	942	1642	986
5.19	2018-02-16_1515_left/002680	1588	935	1642	982
3.27	2018-02-16_1515_left/002681	959	891	1010	934
5.19	2018-02-16_1515_left/002681	1595	928	1645	975
5.19	2018-02-16_1515_left/002682	1595	931	1652	977
5.19	2018-02-16_1515_left/002683	1604	927	1652	973
5.19	2018-02-16_1515_left/002684	1604	920	1658	969
5.19	2018-02-16_1515_left/002685	1611	922	1660	969
3.27	2018-02-16_1515_left/002687	946	880	995	921
4.2	2018-02-16_1515_left/002689	937	872	991	918
5.19	2018-02-16_1515_left/002689	1624	912	1677	961
3.27	2018-02-16_1515_left/002689	1415	984	1443	1006
5.19	2018-02-16_1515_left/002690	1630	913	1684	964
